Taxon,FAD,LAD
Pterodon_hyaenoides,48.6,37.2
Pterodon_phiomensis,33.9,28.1
Ptomalestes_avidus,265,259
Pucadelphys_andinus,66,64.6
Pyozia_mesenensis,268.8,265.1
Reithroparamys_delicatissimus,50.3,40.4
Reithroparamys_huerfanensis,50.3,46.2
Rhadiodromus_klimovi,251.2,242
Rhinodicynodon_gracile,247.2,237
Rhombomylus_turpanensis,55.8,48.6
Riebeeckosaurus_longirostris,265.1,259.1
Riograndia_guabiensis,225,225
Riograndia_guaibensis,225,225
Robertia_broomiana,265.1,259.1
Ruberodon_roychowdhurii,237,227
Rubidgea_atrox,259.1,251.902
Sarcodon_pygmaeus,58.7,55.8
Sarkastodon_mongoliensis,48.6,37.2
Sasayamamylos_kawaii,112.03,109
Saxonella_crepaturae,61.7,59.2
Sciuravus_nitidus,55.8,40.4
Sigynorum_magnadivisus,66,64.6
Sinclairella_dakotensis,37.2,30.8
Sinodelphys_szalayi,125.5,122.5
Sinonyx_jiashanensis,58.7,55.8
Sinopa_grangeri,50.3,46.2
Sinopa_hians,55.8,50.3
Sinopa_major,50.3,40.4
Sinopa_rapax,50.3,46.2
Sinopa_shoshoniensis,55.8,48.6
Sinopa_strenuus,55.8,46.2
Sinopa_vulpeculus,55.8,50.3
Smilodectes_gracilis,50.3,46.2
Spalacotherium_tricuspidens,145,136.4
Sphenocoelus_hyognathus,46.2,40.4
Stehlinius_uintensis,46.2,40.4
Stylinodon_mirus,55.8,40.4
Symmetrolestes_parvus,125,113
Tachypteron_franzeni,48.6,46
Taurocephalus_lerouxi,265.1,259.1
Telmatherium_validus,50.3,37.2
Tendagurutherium_dietrichi,157.7,150.8
Tetraceratops_insignis,283.5,272.95
Tetracynodon_darti,251.902,251.2
Tetracynodon_tenuis,259.1,251.902
Tetragonias_njalilus,247.2,237
Tetragonius_njalilus,247.2,237
Tetragonostylops_apthomasi,58.7,37.2
Theriognathus_microps,254.14,251.902
Therioherpeton_cargnini,237,227
Thinocyon_medius,50.3,46.2
Thinocyon_velox,50.3,40.4
Thliptosaurus_imperforatus,259,252.3
Thomashuxleya_externa,48.6,37.2
Thryptacodon_australis,61.7,55.8
Thryptacodon_pseudarctos,61.7,55.8
Tillodon_fodiens,50.3,46.2
Tinodon_bellus,157.3,145
Titanoides_primaevus,61.7,55.8
Titanotheriomys_wyomingensis,37.2,33.3
Traversodontoides_wangwuensis,247.2,242
Trichasaurus_texensis,283.5,272.95
Trigonostylops_wortmani,48.6,37.2
Triisodon_quivirensis,64.6,61.7
Triplopus_obliquidens,46.2,40.4
Trirachodon_berryi,247.2,242
Trirachodon_spp,251.2,237
Tritemnodon_agilis,50.3,46.2
Tritemnodon_hians,55.8,50.3
Tritemnodon_strenuus,55.8,46.2
Tritheledon_riconoi,201.3,190.8
Trithelodon_riconoi,201.3,190.8
Tritylodon_longaevus,190,190
Trogosus_grangeri,50.3,46.2
Trogosus_hyracoides,50.3,46.2
Tropidostoma_dubium,259.1,254.14
Trucidocynodon_riograndensis,237,227
Tubulodon_pearcei,55.8,50.3
Uchkudukodon_nessovi,93.9,89.3
Uintacyon_massetericus,55.8,50.3
Uintatherium_anceps_,50.3,40.4
Ukhaatherium_nessovi,76,71
Utaetus_buccatus,48.6,33.9
Vassacyon_promicrodon,55.8,48.6
Vincelestes_neuquenianus,129.4,122.46
Vivaxosaurus_trautscholdi,259.1,251.902
Voltaia_minuta,58.7,55.8
Vulpavus_canavus,55.8,46.2
Vulpavus_profectus,50.3,46.2
Wadiasaurus_indicus,247.2,237
Watongia_meieri,272.95,268.8
Wortmania_otariidens,66,64.6
Xenocretosuchus_sibiricus,129.4,113
Xiukannemeyeria_brevirostris,251.2,242
Xiyukannemeyeria_brevirostris,251.2,242
Xyrospondylus_ecordi,305.9,303.4
Youngina capensis ,253.48,253.48
Youngina_capensis,253.48,253.48
Yuanotherium_minor,163.5,157.3
Yuanotherium_spp,163.5,157.3
Yunannodon_brevirostre,199.3,182.7
Yunnanodon_brevirostre,199.3,182.7
Zalambdalestes_lechei,76,71
Zambiasaurus_submersus,247.2,237
Zhangheotherium_quinquecuspidens,126,123
Zhelestes_temirkazyk,93.9,86.5
Asaphestera_platyris,320,304
Hemipsalodon_grandis,41.2,37.8
