Taxon,FAD,LAD
Gobiohyus_robustus,48.6,37.2
Gobiotheriodon_infinitus,125.45,99.7
Gomphodontosuchus_brasiliensis,237,227
Gomphos_elkema,55.8,48.6
Gomphos_ellae,48.6,37.2
Gomphos_progressus,48.6,37.2
Gomphos_shevyrevae,48.6,37.2
Gondwanatherium_patagonicum,84.9,66.043
Goniacodon_gaudryanus,66.043,63.3
Goniacodon_hiawathae,66.043,63.3
Goniacodon_levisanus,61.7,56.8
Gordodon_kraineri,298.9,290.1
Gordonia_traquairi,254.14,251.902
Gorgodon_minutus,279.5,268
Gorgonops_dixeyi,258,256
Gorgonops_kaiseri,265,259
Gorgonops_longifrons,259,254
Gorgonops_torvus,259.1,254.14
Gorgonops_whaitsi,259,254
Gorynychus_masyutinae,265.1,254.14
Greniodon_sylvaticus,48.6,40.4
Griphotherion_peiranoi,47.8,41.3
Groebertherium_stipanicici,84.9,66.043
Guimarotodus_inflatus,155.7,150.8
Gujaratia_indica,55.8,48.6
Gujaratia_pakistanensis,48.6,40.4
Gypsonictops_clemensi,70.6,66.043
Gypsonictops_hypoconus,70.6,66.043
Gypsonictops_illuminatus,70.6,66.043
Gypsonictops_lewisi,70.6,66.043
Hadrocodium_wui,191,191
Hahnodon_taqueti,145.5,140.2
Hakusanodon_archaeus,140.2,136.4
Haldanodon_exspectatus,155.7,150.8
Hapalodectes_anthracinus,55.8,50.3
Hapalodectes_dux,58.7,55.8
Hapalodectes_hetangensis,55.8,48.6
Hapalodectes_huanghaiensis,55.8,48.6
Haplobunodon_muelleri,47.8,38
Haplolambda_quinni,58.7,55.8
Haplomylus_bozemanensis,55.8,50.3
Haplomylus_meridionalis,55.8,50.3
Haplomylus_palustris,56.8,55.8
Haplomylus_scottianus,55.8,50.3
Haplomylus_simpsoni,56.8,55.8
Haplomylus_speirianus,55.8,50.3
Haplomylus_zalmouti,55.8,48.6
Haptodus_baylei,307,290.1
Haptodus_garnettensis,307,303.7
Haramiyavia_clemmenseni,205.6,201.6
Harpagolestes_uintensis,46.2,37.2
Harpalodon_sylvestris,46.2,40.4
Harpyodus_decorus,58.7,55.8
Harpyodus_euros,66.043,61.7
Hassianycteris_messelensis,52,47.8
Hatcheritherium_alpha,70.6,66.043
Hazhenia_concava,251.902,247.2
Heishanlestes_changi,120,110
Heleosaurus_scholtzi,265.1,259.1
Heliscomys_ostranderi,37.2,33.9
Hemithlaeus_josephi,66.043,63.3
Hemithlaeus_kowalevskianus,66.043,63.3
Henkelotherium_guimarotae,157.3,152.1
Henosferus_molus,180.1,168.4
Heptodon_calciculus,50.3,48.6
Heptodon_minimus,55.8,48.6
Heptodon_niushanensis,55.8,48.6
Heptodon_posticus,55.8,46.2
Herpetoskylax_hopsoni,255,255
Herpetotherium_valens,33.9,33.3
Hesperocyon_gregarius,38,33.9
Heterohyus_nanus,37.2,33.9
Hilalia_robusta,48.6,37.2
Hilalia_saribeya,48.6,37.2
Hilalia_selanneae,48.6,37.2
Hilalia_sezerorum,48.6,37.2
Hipposaurus_boonstrai,261,261
Hipposaurus_brinki,265,259
Hofmeyria_atavus,259.1,254.14
Holoclemensia_texana,112.6,109
Homacodon_vagans,46.2,40.4
Homogalax_aureus,55.8,50.3
Homogalax_namadicus,55.8,48.6
Homogalax_protapirinus,55.8,50.3
Homogalax_wutuensis,55.8,48.6
Hondadelphys_fieldsi,16.3,11.8
Hoplophoneus_dakotensis,33.9,28.1
Hoplophoneus_occidentalis,33.9,33.3
Hoplophoneus_primaevus,33.9,33.3
Hoplophoneus_sicarius,33.9,33.3
Hoplophoneus_spp,33.9,28.1
Hyaenodon_crucians,40.4,33.3
Hyaenodon_horridus,37.2,30.8
Hyaenodon_mustelinus,37.2,33.9
